CustomerID,Age,Gender,MaritalStatus,IncomeLevel,transaction_count,total_spent,avg_spent,median_spent,max_spent,min_spent,spend_std,unique_product_categories,weekend_transaction_rate,days_since_last_transaction,transaction_history_days,transactions_per_active_day,tx_category_count_Books,tx_category_count_Clothing,tx_category_count_Electronics,tx_category_count_Furniture,tx_category_count_Groceries,service_interaction_count,unresolved_interaction_count,complaint_count,unresolved_rate,days_since_last_service_interaction,service_history_days,service_type_count_Complaint,service_type_count_Feedback,service_type_count_Inquiry,service_resolution_count_Resolved,service_resolution_count_Unresolved,LoginFrequency,ServiceUsage,days_since_last_login,ChurnStatus,avg_spend_per_login,service_interactions_per_transaction,complaints_per_transaction,low_login_frequency_flag
23,35,F,Divorced,Low,4,1490.74,372.685,380.32500000000005,457.01,273.08,80.6926954562803,2,0.25,54,292,0.013651877133105802,2,0,0,0,2,2.0,1.0,2.0,0.5,287.0,23.0,2.0,0.0,0.0,1.0,1.0,19,Mobile App,177,0,78.46,0.5,0.5,0
24,55,M,Widowed,Medium,5,1143.22,228.644,128.8,485.5,21.11,213.9140935749676,4,0.2,19,304,0.01639344262295082,1,2,0,1,1,1.0,0.0,1.0,0.0,58.0,0.0,1.0,0.0,0.0,1.0,0.0,12,Mobile App,88,0,95.26833333333333,0.2,0.2,0
25,43,F,Married,Low,3,764.77,254.92333333333332,330.41,392.9,41.46,187.48652227115772,2,0.0,85,30,0.0967741935483871,1,0,0,0,2,1.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,0.0,1.0,0.0,27,Mobile App,319,0,28.324814814814815,0.3333333333333333,0.0,0
26,31,M,Single,Medium,3,571.76,190.58666666666667,207.37,318.48,45.91,137.05787621779837,3,0.6666666666666666,3,150,0.019867549668874173,1,1,0,1,0,1.0,0.0,1.0,0.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,45,Mobile App,93,1,12.705777777777778,0.3333333333333333,0.3333333333333333,0
27,26,M,Widowed,Medium,8,2210.6,276.325,316.625,415.81,57.85,124.4304931621322,5,0.25,51,310,0.02572347266881029,1,2,2,1,2,1.0,1.0,0.0,1.0,200.0,0.0,0.0,1.0,0.0,0.0,1.0,22,Mobile App,91,0,100.48181818181818,0.125,0.0,0
28,27,F,Widowed,High,6,1702.26,283.71,327.185,467.92,56.85,143.0756766190536,3,0.16666666666666666,13,346,0.01729106628242075,1,0,4,1,0,2.0,2.0,1.0,1.0,29.0,231.0,1.0,0.0,1.0,0.0,2.0,42,Online Banking,66,0,40.53,0.3333333333333333,0.16666666666666666,0
29,38,F,Divorced,Medium,3,853.0699999999999,284.3566666666666,389.21,438.71,25.15,225.83984266141644,2,0.6666666666666666,98,215,0.013888888888888888,1,2,0,0,0,2.0,1.0,0.0,0.5,108.0,152.0,0.0,1.0,1.0,1.0,1.0,34,Website,120,0,25.09029411764706,0.6666666666666666,0.0,0
30,69,M,Divorced,High,2,706.66,353.33,353.33,448.78,257.88,134.98668452851192,2,0.5,105,127,0.015625,1,0,1,0,0,2.0,1.0,2.0,0.5,75.0,195.0,2.0,0.0,0.0,1.0,1.0,38,Website,172,0,18.59631578947368,1.0,1.0,0
31,34,M,Divorced,Low,5,1108.56,221.712,194.45,314.38,101.96,91.47003646003428,3,0.2,22,330,0.015105740181268883,2,2,0,1,0,2.0,0.0,1.0,0.0,195.0,40.0,1.0,0.0,1.0,2.0,0.0,23,Online Banking,136,0,48.19826086956522,0.4,0.2,0
32,69,F,Married,High,5,1225.52,245.10399999999998,210.01,460.5,111.98,144.88205627337013,4,0.2,88,217,0.022935779816513763,1,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,Mobile App,359,0,25.531666666666666,0.0,0.0,0
33,23,M,Divorced,High,2,689.0,344.5,344.5,356.54,332.46,17.027131290972093,2,0.5,54,92,0.021505376344086023,0,1,0,0,1,1.0,0.0,0.0,0.0,214.0,0.0,0.0,1.0,0.0,1.0,0.0,24,Mobile App,226,1,28.708333333333332,0.5,0.0,0
34,33,M,Widowed,High,9,1886.4,209.60000000000002,240.24,383.48,51.23,109.65274095981368,4,0.4444444444444444,9,348,0.025787965616045846,1,4,2,2,0,2.0,1.0,0.0,0.5,181.0,44.0,0.0,2.0,0.0,1.0,1.0,44,Online Banking,272,0,42.872727272727275,0.2222222222222222,0.0,0
35,65,M,Married,Low,3,779.8399999999999,259.94666666666666,172.58,471.59,135.67,184.2152611303779,3,0.3333333333333333,114,158,0.018867924528301886,1,0,1,1,0,1.0,1.0,1.0,1.0,176.0,0.0,1.0,0.0,0.0,0.0,1.0,19,Mobile App,222,0,41.04421052631579,0.3333333333333333,0.3333333333333333,0
36,18,F,Widowed,Low,6,1321.5500000000002,220.25833333333335,148.215,452.54,54.72,184.25456633871158,4,0.16666666666666666,65,239,0.025,1,1,3,0,1,1.0,0.0,0.0,0.0,63.0,0.0,0.0,1.0,0.0,1.0,0.0,6,Online Banking,323,0,220.25833333333335,0.16666666666666666,0.0,1
37,36,F,Married,Medium,9,3166.88,351.8755555555556,413.56,495.59,95.14,144.519362553181,4,0.3333333333333333,24,335,0.026785714285714284,1,4,0,3,1,1.0,0.0,1.0,0.0,285.0,0.0,1.0,0.0,0.0,1.0,0.0,3,Online Banking,125,0,1055.6266666666668,0.1111111111111111,0.1111111111111111,1
38,53,F,Married,Low,3,874.86,291.62,418.55,431.43,24.88,231.0933670618869,2,0.3333333333333333,26,285,0.01048951048951049,1,0,0,0,2,1.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,1.0,1.0,0.0,47,Online Banking,34,0,18.61404255319149,0.3333333333333333,0.0,0
39,42,M,Married,Medium,5,1191.94,238.388,315.91,439.79,12.77,179.07619110311677,3,0.8,20,249,0.02,0,0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,Online Banking,345,0,45.84384615384616,0.0,0.0,0
40,67,F,Widowed,Low,7,1578.3500000000001,225.47857142857146,281.66,339.69,81.78,110.07539271314175,3,0.0,151,203,0.03431372549019608,0,0,2,2,3,1.0,0.0,1.0,0.0,37.0,0.0,1.0,0.0,0.0,1.0,0.0,20,Website,78,0,78.9175,0.14285714285714285,0.14285714285714285,0
41,69,F,Married,High,2,363.22,181.61,181.61,329.86,33.36,209.65716062181133,2,0.5,319,9,0.2,0,1,0,1,0,1.0,1.0,0.0,1.0,307.0,0.0,0.0,0.0,1.0,0.0,1.0,38,Mobile App,180,1,9.55842105263158,0.5,0.0,0
42,47,M,Widowed,Medium,3,530.61,176.87,110.57,326.29,93.75,129.67451715738142,2,0.0,71,190,0.015706806282722512,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Mobile App,167,0,53.061,0.0,0.0,0
43,37,M,Single,Low,7,2213.63,316.23285714285714,325.4,396.79,218.4,63.38501261189055,4,0.42857142857142855,59,247,0.028225806451612902,1,3,1,0,2,2.0,1.0,0.0,0.5,44.0,229.0,0.0,0.0,2.0,1.0,1.0,25,Mobile App,220,0,88.54520000000001,0.2857142857142857,0.0,0
44,37,F,Widowed,Low,3,687.8199999999999,229.2733333333333,227.58,423.71,36.53,193.59555427058064,2,0.6666666666666666,38,290,0.010309278350515464,0,0,1,0,2,1.0,1.0,0.0,1.0,256.0,0.0,0.0,1.0,0.0,0.0,1.0,35,Mobile App,48,0,19.651999999999997,0.3333333333333333,0.0,0
45,32,F,Widowed,Low,1,300.42,300.42,300.42,300.42,300.42,0.0,1,0.0,8,0,1.0,0,0,0,0,1,1.0,1.0,1.0,1.0,188.0,0.0,1.0,0.0,0.0,0.0,1.0,49,Online Banking,120,0,6.131020408163265,1.0,1.0,0
46,57,F,Married,High,1,134.67,134.67,134.67,134.67,134.67,0.0,1,1.0,133,0,1.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,Online Banking,153,1,5.611249999999999,0.0,0.0,0
47,50,F,Married,Medium,7,1466.37,209.48142857142855,180.48,336.93,49.88,102.09593877469229,5,0.42857142857142855,42,234,0.029787234042553193,1,1,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,Website,256,0,69.82714285714285,0.0,0.0,0
48,19,M,Divorced,Medium,7,1597.29,228.18428571428572,191.81,429.87,72.34,125.39075681739104,5,0.42857142857142855,22,202,0.034482758620689655,2,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,Website,202,0,46.97911764705882,0.0,0.0,0
49,27,F,Single,Medium,3,641.48,213.82666666666668,223.89,354.86,62.73,146.3247663019946,3,0.3333333333333333,207,98,0.030303030303030304,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,Online Banking,315,0,35.63777777777778,0.0,0.0,0
50,50,F,Single,Low,4,1514.62,378.655,387.82500000000005,469.96,269.01,85.42003843751573,3,0.5,22,334,0.011940298507462687,0,1,0,1,2,2.0,2.0,1.0,1.0,57.0,249.0,1.0,1.0,0.0,0.0,2.0,19,Online Banking,169,0,79.71684210526315,0.5,0.25,0
51,49,M,Divorced,Medium,3,549.86,183.28666666666666,50.08,476.36,23.42,254.15875537414274,3,0.0,164,118,0.025210084033613446,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Mobile App,61,1,183.28666666666666,0.0,0.0,1
52,28,M,Widowed,Medium,1,401.25,401.25,401.25,401.25,401.25,0.0,1,0.0,317,0,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,Mobile App,318,0,66.875,0.0,0.0,1
53,41,F,Widowed,Low,7,1255.34,179.3342857142857,195.81,420.01,34.48,136.35939166496047,4,0.2857142857142857,3,290,0.024054982817869417,2,1,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,Mobile App,90,0,62.766999999999996,0.0,0.0,0
54,53,F,Married,Low,2,461.21000000000004,230.60500000000002,230.60500000000002,283.1,178.11,74.23914095677563,2,0.0,180,21,0.09090909090909091,1,0,0,0,1,2.0,0.0,1.0,0.0,39.0,313.0,1.0,1.0,0.0,2.0,0.0,22,Online Banking,345,0,20.96409090909091,1.0,0.5,0
55,29,F,Single,Low,5,1129.35,225.86999999999998,127.82,433.0,101.59,151.0633691534781,3,0.2,116,241,0.02066115702479339,0,2,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,Website,135,0,34.22272727272727,0.0,0.0,0
56,68,F,Married,Low,5,1443.46,288.692,255.32,462.05,138.07,126.6637427206381,4,0.2,16,212,0.023474178403755867,2,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,Mobile App,133,0,103.10428571428572,0.0,0.0,0
57,46,F,Divorced,High,3,597.75,199.25,216.17,295.23,86.35,105.46292429095641,3,0.0,33,280,0.010676156583629894,1,0,1,0,1,1.0,1.0,1.0,1.0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,44,Online Banking,164,0,13.585227272727273,0.3333333333333333,0.3333333333333333,0
58,52,M,Single,High,6,2215.82,369.30333333333334,341.54999999999995,467.63,305.23,70.25520213241627,4,0.16666666666666666,43,272,0.02197802197802198,1,3,1,0,1,2.0,2.0,1.0,1.0,166.0,177.0,1.0,0.0,1.0,0.0,2.0,9,Online Banking,258,0,246.20222222222225,0.3333333333333333,0.16666666666666666,1
59,18,M,Married,Medium,3,292.51,97.50333333333333,101.31,139.62,51.58,44.143271665490914,2,0.3333333333333333,30,129,0.023076923076923078,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,Online Banking,20,0,6.500222222222222,0.0,0.0,0
60,18,F,Single,High,4,781.09,195.2725,156.555,457.37,10.61,194.45063133093703,4,0.0,11,321,0.012422360248447204,1,1,1,0,1,2.0,1.0,0.0,0.5,205.0,73.0,0.0,2.0,0.0,1.0,1.0,25,Mobile App,304,0,31.2436,0.5,0.0,0
61,54,M,Single,Low,3,678.97,226.32333333333335,252.72,308.15,118.1,97.73606618507486,2,0.3333333333333333,81,262,0.011406844106463879,0,0,2,1,0,1.0,0.0,1.0,0.0,264.0,0.0,1.0,0.0,0.0,1.0,0.0,47,Website,4,1,14.446170212765958,0.3333333333333333,0.3333333333333333,0
62,23,F,Married,High,4,840.0,210.0,194.08499999999998,359.92,91.91,127.90042663468067,4,0.25,35,326,0.012232415902140673,1,1,1,0,1,2.0,0.0,1.0,0.0,3.0,300.0,1.0,0.0,1.0,2.0,0.0,16,Mobile App,126,0,52.5,0.5,0.25,0
63,56,M,Married,Low,9,2205.11,245.01222222222225,229.33,436.58,68.98,130.2882392790863,5,0.3333333333333333,18,283,0.03169014084507042,1,1,1,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,Mobile App,219,0,315.0157142857143,0.0,0.0,1
64,58,F,Single,High,3,965.21,321.7366666666667,286.35,494.58,184.28,158.14766717638716,3,0.3333333333333333,13,230,0.012987012987012988,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,Online Banking,211,0,87.74636363636364,0.0,0.0,0
65,35,F,Divorced,Low,5,1359.8899999999999,271.97799999999995,195.94,462.37,118.54,156.60055130809724,3,0.4,44,127,0.0390625,0,0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,Mobile App,97,0,50.36629629629629,0.0,0.0,0
66,33,M,Widowed,Medium,8,1409.11,176.13875,171.17000000000002,407.13,19.43,113.44935452029432,4,0.625,10,337,0.023668639053254437,1,2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,Online Banking,136,0,35.22775,0.0,0.0,0
67,22,F,Single,Medium,4,701.76,175.44,185.05,301.42,30.24,138.2209484846635,2,0.25,52,277,0.014388489208633094,1,3,0,0,0,2.0,0.0,0.0,0.0,223.0,22.0,0.0,0.0,2.0,2.0,0.0,17,Online Banking,161,0,41.28,0.5,0.0,0
68,59,F,Divorced,High,4,886.4799999999999,221.61999999999998,232.83499999999998,363.53,57.28,125.74113275562082,4,0.25,55,178,0.0223463687150838,1,1,1,0,1,2.0,2.0,1.0,1.0,207.0,131.0,1.0,0.0,1.0,0.0,2.0,5,Website,159,1,177.296,0.5,0.25,1
69,60,F,Single,Low,4,1038.53,259.6325,242.47500000000002,421.42,132.16,126.81326833182717,3,0.25,27,262,0.015209125475285171,2,1,0,1,0,1.0,0.0,0.0,0.0,86.0,0.0,0.0,1.0,0.0,1.0,0.0,29,Mobile App,48,0,35.811379310344826,0.25,0.0,0
70,49,F,Married,Medium,7,2453.98,350.56857142857143,401.39,492.36,100.63,126.30457862228263,4,0.14285714285714285,18,343,0.020348837209302327,1,2,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Mobile App,291,0,245.398,0.0,0.0,0
71,19,F,Divorced,Low,3,474.59000000000003,158.1966666666667,166.05,172.53,136.01,19.485474932198446,2,0.3333333333333333,58,298,0.010033444816053512,0,1,0,0,2,2.0,1.0,0.0,0.5,261.0,82.0,0.0,1.0,1.0,1.0,1.0,47,Online Banking,136,1,10.097659574468086,0.6666666666666666,0.0,0
72,19,F,Divorced,High,6,1080.4,180.0666666666667,149.89,388.6,20.1,152.0019999429832,3,0.16666666666666666,39,307,0.01948051948051948,0,3,2,0,1,2.0,1.0,2.0,0.5,356.0,6.0,2.0,0.0,0.0,1.0,1.0,25,Online Banking,250,1,43.216,0.3333333333333333,0.3333333333333333,0
73,57,M,Single,Low,9,2254.22,250.46888888888887,231.01,451.24,102.27,121.23771633081479,3,0.0,45,310,0.028938906752411574,0,4,3,0,2,1.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,1.0,1.0,0.0,24,Online Banking,65,1,93.92583333333333,0.1111111111111111,0.0,0
74,59,M,Widowed,Low,8,2083.79,260.47375,253.505,443.75,58.9,130.55946504371101,5,0.25,126,154,0.05161290322580645,1,3,1,2,1,1.0,0.0,1.0,0.0,303.0,0.0,1.0,0.0,0.0,1.0,0.0,44,Mobile App,315,0,47.35886363636364,0.125,0.125,0
75,53,F,Single,High,4,769.97,192.4925,226.515,259.91,57.03,92.21556209049895,4,0.25,0,130,0.030534351145038167,1,1,1,1,0,1.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,1.0,1.0,0.0,12,Mobile App,197,1,64.16416666666667,0.25,0.0,0
76,56,F,Widowed,Medium,4,883.92,220.98,179.19,470.61,54.93,197.2234526283998,2,0.25,24,271,0.014705882352941176,2,2,0,0,0,2.0,1.0,1.0,0.5,42.0,17.0,1.0,0.0,1.0,1.0,1.0,5,Website,236,1,176.784,0.5,0.25,1
77,29,M,Divorced,High,8,1797.06,224.6325,234.03,460.67,12.77,127.62067328610989,3,0.25,27,327,0.024390243902439025,2,4,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,Online Banking,77,0,61.96758620689655,0.0,0.0,0
78,64,M,Widowed,Low,3,816.89,272.2966666666667,361.23,377.08,78.58,167.9506351084548,2,0.3333333333333333,259,46,0.06382978723404255,0,1,0,0,2,1.0,1.0,0.0,1.0,37.0,0.0,0.0,0.0,1.0,0.0,1.0,35,Mobile App,85,0,23.339714285714287,0.3333333333333333,0.0,0
79,36,M,Married,High,3,931.3199999999999,310.44,444.26,463.19,23.87,248.3573230247097,2,0.0,17,341,0.008771929824561403,2,0,0,1,0,1.0,0.0,1.0,0.0,336.0,0.0,1.0,0.0,0.0,1.0,0.0,23,Online Banking,255,1,40.49217391304347,0.3333333333333333,0.3333333333333333,0
80,45,M,Widowed,High,1,110.82,110.82,110.82,110.82,110.82,0.0,1,0.0,270,0,1.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,Mobile App,205,0,3.463125,0.0,0.0,0
81,18,F,Widowed,Low,8,2181.77,272.72125,241.555,494.59,97.01,161.3553819047969,4,0.125,122,219,0.03636363636363636,2,2,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,Website,28,1,54.54425,0.0,0.0,0
82,32,F,Divorced,High,1,232.38,232.38,232.38,232.38,232.38,0.0,1,0.0,333,0,1.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,Mobile App,237,0,12.230526315789474,0.0,0.0,0
83,53,M,Widowed,Medium,6,1419.9199999999998,236.6533333333333,199.345,458.03,42.55,163.95608493333413,4,0.5,77,280,0.021352313167259787,1,2,1,0,2,2.0,2.0,0.0,1.0,252.0,32.0,0.0,2.0,0.0,0.0,2.0,25,Mobile App,0,0,56.79679999999999,0.3333333333333333,0.0,0
84,30,M,Divorced,Medium,5,1545.91,309.182,273.85,477.4,220.53,107.97617408484149,4,0.2,16,322,0.015479876160990712,1,1,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,Online Banking,31,0,34.35355555555556,0.0,0.0,0
85,60,M,Married,High,9,1690.08,187.78666666666666,164.36,368.18,64.14,99.08596166965327,4,0.3333333333333333,25,265,0.03383458646616541,2,2,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Mobile App,145,0,45.677837837837835,0.0,0.0,0
86,38,M,Married,Low,7,1674.6599999999999,239.23714285714283,275.83,452.17,9.19,159.2233681252311,3,0.14285714285714285,29,266,0.026217228464419477,0,3,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Website,74,0,1674.6599999999999,0.0,0.0,1
87,29,F,Single,High,5,1411.84,282.368,280.78,472.13,48.02,187.97338314240133,4,0.2,5,153,0.032467532467532464,1,2,1,1,0,2.0,1.0,1.0,0.5,20.0,284.0,1.0,0.0,1.0,1.0,1.0,43,Website,39,0,32.83348837209302,0.4,0.2,0
